tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,flights,0,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,0,7:45 p.m.,7:58 p.m.,10:30 p.m.,nan
3,flightarrival,0,6:30 p.m.,nan,7:25 p.m.,nan
4,world-flight-tracker,0,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,aa,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,0,11:25 p.m.,nan,12/02/2011 6:55 a.m.,nan
7,ifly,0,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
8,gofox,0,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,aa,0,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,flightstats,0,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,aa,0,nan,10:55 a.m.,nan,1:40 p.m.
12,allegiantair,0,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,gofox,0,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
14,aa,0,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,world-flight-tracker,0,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,ifly,0,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
17,allegiantair,0,nan,12:13 p.m.,nan,2:10 p.m.
18,panynj,0,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
19,aa,0,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,world-flight-tracker,0,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
21,gofox,0,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
22,flights,0,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,aa,0,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,flights,0,6:45 p.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.
25,panynj,0,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,aa,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.
27,aa,0,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,gofox,0,nan,5:08 p.m.,nan,7:55 p.m.
29,usatoday,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
30,aa,0,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
31,gofox,0,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
32,world-flight-tracker,0,11:55 p.m.,nan,5:50 a.m.,nan
33,gofox,0,9:00 p.m.,nan,12:15 a.m. Dec 02,nan
34,flightarrival,0,8:25 p.m.,nan,11:50 p.m.,nan
35,businesstravellogue,0,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,gofox,0,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
37,gofox,0,1:30 p.m.,nan,3:50 p.m.,nan
38,aa,0,8:20 p.m.,8:39 p.m.,9:20 p.m.,nan
39,usatoday,0,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,aa,0,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.
41,world-flight-tracker,0,7:15 a.m.,7:22 a.m.,11:35 a.m.,11:06 a.m.
42,usatoday,0,12:10 p.m.,12:10 p.m.,2:15 p.m.,1:43 p.m.
43,allegiantair,0,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m.
44,flights,0,nan,8:56 a.m.,nan,10:16 a.m.
45,aa,AA-85-JFK-SFO,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
46,aa,0,nan,11:40 a.m.,nan,4:56 p.m.
47,aa,0,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
48,foxbusiness,0,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
49,panynj,0,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 a.m.
50,world-flight-tracker,0,7:10 a.m.,7:39 a.m.,10:45 a.m.,11:12 a.m.
51,helloflight,0,nan,7:16 a.m.,9:40 a.m.,9:22 a.m.
52,foxbusiness,0,nan,nan,nan,nan
53,helloflight,0,6:40 a.m.,6:54 a.m.,nan,9:14 a.m.
54,flights,0,8:00 a.m.,8:48 a.m.,11:55 a.m.,11:30 a.m.
55,panynj,0,nan,9:00 a.m.,nan,9:29 a.m.
56,weather,0,nan,7:59 p.m.,nan,10:31 p.m.
57,travelocity,0,3:27 p.m.,3:50 p.m.,5:05 p.m.,5:14 p.m.
58,foxbusiness,0,nan,nan,nan,nan
59,helloflight,0,nan,11:41 a.m.,nan,4:54 p.m.
60,gofox,0,nan,10:53 a.m.,nan,11:11 a.m.
61,helloflight,0,nan,11:29 p.m.,nan,12/2/11 6:35 a.m.
62,gofox,0,nan,6:10 a.m.,nan,7:04 a.m.
63,businesstravellogue,0,nan,nan,nan,nan
64,travelocity,0,4:00 p.m.,4:10 p.m.,6:46 p.m.,6:25 p.m.
65,helloflight,0,7:35 a.m.,nan,9:21 a.m.,nan
66,helloflight,0,9:45 a.m.,nan,1:16 p.m.,nan
67,ifly,0,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:11 p.m.
68,helloflight,0,nan,8:26 a.m.,nan,9:56 a.m.
69,helloflight,0,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:29 a.m.
70,world-flight-tracker,0,nan,4:29 p.m.,nan,7:37 p.m.
71,gofox,0,nan,10:54 a.m.,nan,1:36 p.m.
72,helloflight,0,2:30 p.m.,nan,7:03 p.m.,nan
73,helloflight,0,8:05 a.m.,nan,11:35 a.m.,nan
74,flightview,0,nan,3:04 p.m.,nan,4:43 p.m.
75,foxbusiness,0,11:50 a.m.,12:13 p.m.,3:50 p.m.,4:08 p.m.
76,helloflight,0,11:40 a.m.,nan,1:17 p.m.,nan
77,flightstats,0,6:00 a.m.,6:09 a.m.,9:20 a.m.,8:50 a.m.
78,weather,0,nan,11:45 a.m.,4:57 p.m.,5:00 p.m.
79,helloflight,0,6:00 a.m.,nan,10:20 a.m.,nan
80,gofox,0,nan,nan,nan,nan
81,helloflight,0,nan,10:19 a.m.,nan,11:50 a.m.
82,world-flight-tracker,0,1:00 p.m.,2:03 p.m.,nan,3:13 p.m.
83,flightarrival,0,nan,8:07 a.m.,nan,1:23 p.m.
84,flightexplorer,0,nan,12:56 p.m.,nan,3:09 p.m.
85,allegiantair,0,nan,12:14 p.m.,nan,1:55 p.m.
86,helloflight,0,2:30 p.m.,2:43 p.m.,6:15 p.m.,5:22 p.m.
87,helloflight,0,nan,12:07 p.m.,nan,1:11 p.m.
88,helloflight,0,5:25 p.m.,nan,8:22 p.m.,nan
89,helloflight,0,7:10 p.m.,nan,8:56 p.m.,nan
90,world-flight-tracker,0,nan,11:06 a.m.,2:45 p.m.,2:39 p.m.
91,flights,0,nan,1:43 p.m.,nan,5:24 p.m.
92,helloflight,0,nan,nan,4:00 p.m.,nan
93,world-flight-tracker,0,nan,7:22 a.m.,nan,10:34 a.m.
94,flightarrival,0,6:30 p.m.,6:47 p.m.,7:25 p.m.,7:25 p.m.
95,flightarrival,0,6:45 p.m.,6:56 p.m.,9:10 p.m.,8:38 p.m.
96,helloflight,0,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:04 p.m.
97,quicktrip,0,7:15 p.m.,nan,12:21 a.m.,nan
98,helloflight,0,nan,2:04 p.m.,nan,7:20 p.m.
99,gofox,0,9:15 a.m.,nan,12:18 p.m.,nan
100,aa,0,nan,6:57 a.m.,nan,7:49 a.m.
101,helloflight,0,7:10 a.m.,7:31 a.m.,9:35 a.m.,9:26 a.m.
102,helloflight,0,nan,5:09 p.m.,nan,7:43 p.m.
103,helloflight,0,7:25 a.m.,7:39 a.m.,11:10 a.m.,10:43 a.m.
104,helloflight,0,3:50 p.m.,4:44 p.m.,6:23 p.m.,6:28 p.m.
105,helloflight,0,nan,4:37 p.m.,nan,7:23 p.m.
106,orbitz,0,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:47 p.m.
107,myrateplan,0,10:25 a.m.,nan,6:44 p.m.,nan
108,helloflight,0,nan,7:30 a.m.,nan,10:43 a.m.
109,helloflight,0,10:40 a.m.,11:02 a.m.,nan,2:58 p.m.
110,businesstravellogue,0,1:33 p.m.,1:48 p.m.,4:31 p.m.,4:20 p.m.
111,helloflight,0,nan,12:42 p.m.,nan,2:50 p.m.
112,gofox,0,nan,nan,nan,nan
113,helloflight,0,11:55 p.m.,12:11 a.m.,nan,5:52 a.m.
114,panynj,0,nan,4:28 p.m.,nan,12/2/11 12:01 a.m.
115,helloflight,0,nan,9:06 p.m.,12:15 a.m. Dec 02,11:49 p.m.
116,flightexplorer,0,8:25 p.m.,8:29 p.m.,nan,11:35 p.m.
117,businesstravellogue,0,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:45 a.m.
118,helloflight,0,8:35 a.m.,8:52 a.m.,11:50 a.m.,11:33 a.m.
119,flights,0,nan,8:37 a.m.,nan,9:13 a.m.
120,helloflight,0,1:30 p.m.,1:41 p.m.,nan,3:29 p.m.
121,helloflight,0,2:53 p.m.,nan,4:48 p.m.,nan
122,helloflight,0,nan,7:41 a.m.,nan,8:33 a.m.
123,helloflight,0,11:08 p.m.,nan,12/2/11 5:11 a.m.,nan
124,gofox,0,5:30 p.m.,5:38 p.m.,6:40 p.m.,6:19 p.m.
125,flightview,0,nan,1:50 p.m. (+8:00),nan,7:50 a.m.
126,flightarrival,0,nan,11:47 a.m.,nan,1:52 p.m.
127,helloflight,0,nan,8:40 p.m.,nan,9:12 p.m.
128,myrateplan,0,nan,3:04 p.m.,nan,4:22 p.m.
129,helloflight,0,2:30 p.m.,nan,7:03 p.m.,nan
130,helloflight,0,8:55 a.m.,nan,11:45 a.m.,nan
131,ifly,0,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:36 p.m.
132,helloflight,0,2:55 p.m.,3:28 p.m.,5:55 p.m.,5:39 p.m.
133,gofox,0,7:15 a.m.,7:22 a.m.,11:35 a.m.,11:04 a.m.
134,foxbusiness,0,12:10 p.m.,12:11 p.m.,2:15 p.m.,1:42 p.m.
135,helloflight,0,nan,8:04 a.m.,nan,10:58 a.m.
136,businesstravellogue,0,nan,nan,nan,nan
137,quicktrip,0,1:05 p.m.,1:20 p.m.,2:35 p.m.,2:49 p.m.
138,panynj,0,nan,8:55 a.m.,nan,10:12 a.m.
139,helloflight,0,nan,3:38 p.m.,nan,6:30 p.m.
140,businesstravellogue,0,nan,8:04 a.m.,nan,7:59 a.m.
141,businesstravellogue,0,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:11 p.m.
142,world-flight-tracker,0,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:21 p.m.
143,quicktrip,0,2:55 p.m.,nan,4:49 p.m.,nan
144,world-flight-tracker,0,nan,11:55 a.m.,6:17 p.m.,5:34 p.m.
145,helloflight,0,10:40 a.m.,10:55 a.m.,12:55 p.m.,12:37 p.m.
146,helloflight,0,6:45 a.m.,6:58 a.m.,7:45 a.m.,7:37 a.m.
147,gofox,0,4:00 p.m.,nan,7:05 p.m.,nan
148,flights,0,6:00 a.m.,6:11 a.m.,6:40 a.m.,6:15 a.m.
149,helloflight,0,nan,7:40 a.m.,10:45 a.m.,10:52 a.m.
150,foxbusiness,0,7:10 a.m.,7:32 a.m.,3:30 p.m.,3:12 p.m.
151,flights,0,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:22 a.m.
152,usatoday,0,nan,7:42 p.m.,nan,10:23 p.m.
153,gofox,0,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:12 a.m.
154,foxbusiness,0,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:35 a.m.
155,flightview,0,nan,9:01 a.m.,nan,9:40 a.m.
156,boston,0,7:45 p.m.,7:59 p.m.,10:30 p.m.,10:39 p.m.&nbsp(Estimated)
157,flights,0,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:10 p.m.
158,travelocity,0,3:27 p.m.,3:50 p.m.,5:05 p.m.,5:17 p.m.
159,foxbusiness,0,nan,12:37 p.m.,nan,3:25 p.m.
160,businesstravellogue,0,nan,10:53 a.m.,nan,11:18 a.m.
161,boston,0,11:25 p.m.,Not Available,6:55 a.m. Dec 02,Not Available
162,gofox,0,nan,6:10 a.m.,nan,7:10 a.m.
163,gofox,0,nan,12:58 a.m.,nan,5:23 a.m.
164,travelocity,0,4:00 p.m.,4:10 p.m.,6:46 p.m.,6:25 p.m.
165,boston,0,nan,7:56 a.m.,nan,9:09 a.m.
166,boston,0,9:45 a.m.,10:35 a.m.,nan,1:09 p.m.
167,ifly,0,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:18 p.m.
168,boston,0,nan,8:26 a.m.,nan,9:54 a.m.
169,usatoday,0,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:42 a.m.
170,world-flight-tracker,0,4:15 p.m.,4:30 p.m.,7:55 p.m.,7:35 p.m.
171,boston,0,nan,10:55 a.m.,nan,1:34 p.m.
172,boston,0,nan,2:59 p.m.,nan,6:59 p.m.
173,boston,0,nan,8:18 a.m.,nan,11:26 a.m.
174,boston,0,nan,3:04 p.m.,nan,4:45 p.m.
175,boston,0,11:50 a.m.,12:13 p.m.,3:50 p.m.,4:09 p.m.
176,boston,0,nan,12:06 p.m.,nan,1:12 p.m.
177,flightview,0,6:00 a.m.,6:09 a.m.,9:20 a.m.,9:00 a.m.
178,usatoday,0,11:05 a.m.,11:45 a.m.,4:57 p.m.,5:03 p.m.
179,myrateplan,0,6:00 a.m.,6:17 a.m.,10:20 a.m.,10:18 a.m.
180,gofox,0,nan,9:01 a.m.,nan,10:47 a.m.
181,gofox,0,10:15 a.m.,10:19 a.m.,12:10 p.m.,11:50 a.m.
182,gofox,0,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:19 p.m.
183,boston,0,nan,8:07 a.m.,nan,1:27 p.m.
184,boston,0,nan,12:56 p.m.,nan,3:20 p.m.
185,businesstravellogue,0,nan,12:14 p.m.,nan,2:01 p.m.
186,boston,0,2:30 p.m.,2:43 p.m.,6:15 p.m.,5:28 p.m.
187,boston,UA-2945-PHL-CLT,12:00 p.m.,12:08 p.m.,1:45 p.m.,1:14 p.m.
188,boston,0,nan,5:38 p.m.,nan,7:55 p.m.
189,boston,CO-47-IAH-LAX,nan,8:36 p.m.,nan,9:38 p.m.
190,world-flight-tracker,0,10:40 a.m.,11:06 a.m.,2:45 p.m.,2:37 p.m.
191,flights,0,nan,nan,4:52 p.m.,nan
192,boston,0,nan,3:36 p.m.,nan,3:25 p.m.
193,world-flight-tracker,0,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:29 a.m.
194,flightarrival,0,6:30 p.m.,Not Available,7:25 p.m.,Not Available
195,flightarrival,0,6:45 p.m.,6:56 p.m.,9:10 p.m.,8:43 p.m.
196,quicktrip,0,7:15 p.m.,Not Available,12:21 a.m.,Not Available
