Dataset: beers
Original file: /root/datarepair/datasets/beers/dirty.csv
Clean file: /root/datarepair/datasets/beers/clean.csv
Repaired file: /root/datarepair/baselines/raha/repaired_datasets/beers/repaired_dirty.csv
Processing time: 180.43 seconds
Total errors detected: 4362
Total corrections applied: 4050

Corrections applied (Row,Column,Original_Value,Corrected_Value):
1287,3,"12.0 oz.","12"
0,3,"12.0 oz","12"
1,3,"12.0 oz.","12"
2,3,"12.0 ounce","12"
3,3,"12.0 oz","12"
4,3,"12.0 OZ.","12"
5,3,"12.0 oz","12"
6,3,"12.0 oz.","12"
7,3,"12.0 ounce","12"
8,3,"12.0 oz.","12"
9,3,"12.0 ounce","12"
10,3,"12.0 oz.","12"
11,3,"12.0 oz.","12"
12,3,"12.0 OZ.","12"
13,3,"12.0 oz.","12"
14,3,"12.0 ounce","12"
15,3,"12.0 ounce","12"
16,3,"12.0 oz.","12"
17,3,"12.0 oz. Alumi-Tek","12"
18,3,"12.0 ounce","12"
19,3,"12.0 oz.","12"
20,3,"12.0 oz.","12"
21,3,"8.4 ounce","12"
22,3,"12.0 OZ.","12"
23,3,"12.0 oz.","12"
24,3,"12.0 oz","12"
25,3,"12.0 ounce","12"
26,3,"12.0 oz.","12"
27,3,"12.0 oz.","12"
28,3,"12.0 oz.","12"
29,3,"12.0 OZ.","12"
30,3,"12.0 oz.","12"
31,3,"12.0 oz.","12"
32,3,"12.0 oz.","12"
33,3,"12.0 oz","12"
34,3,"12.0 ounce","12"
35,3,"12.0 ounce","12"
36,3,"12.0 OZ.","12"
37,3,"12.0 oz.","12"
38,3,"12.0 oz.","12"
39,3,"12.0 ounce","12"
40,3,"12.0 oz.","12"
41,3,"12.0 oz.","12"
42,3,"12.0 oz","12"
43,3,"12.0 oz","12"
44,3,"12.0 oz","12"
45,3,"12.0 oz.","12"
46,3,"12.0 oz.","12"
47,3,"12.0 oz","12"
48,3,"12.0 oz.","12"
49,3,"12.0 oz.","12"
50,3,"16.0 ounce","12"
51,3,"16.0 ounce","12"
52,3,"16.0 oz.","16"
53,3,"16.0 oz.","16"
54,3,"16.0 oz. Alumi-Tek","12"
55,3,"16.0 ounce","12"
56,3,"16.0 oz","16"
57,3,"16.0 oz","16"
58,3,"16.0 oz","16"
59,3,"16.0 ounce","12"
60,3,"16.0 oz.","16"
61,3,"12.0 oz.","12"
62,3,"12.0 oz","12"
63,3,"12.0 ounce","12"
64,3,"12.0 oz.","12"
65,3,"12.0 oz","12"
66,3,"12.0 oz.","12"
67,3,"16.0 ounce","12"
68,3,"16.0 ounce","12"
69,3,"16.0 ounce","12"
70,3,"16.0 oz.","16"
71,3,"16.0 OZ.","16"
72,3,"16.0 oz.","16"
73,3,"16.0 oz","16"
74,3,"16.0 ounce","12"
75,3,"16.0 oz","16"
76,3,"16.0 oz.","16"
77,3,"16.0 ounce","12"
78,3,"16.0 OZ.","16"
79,3,"16.0 ounce","12"
80,3,"16.0 oz.","16"
81,3,"16.0 oz","16"
82,3,"16.0 ounce","12"
83,3,"16.0 OZ.","16"
84,3,"16.0 oz.","16"
85,3,"12.0 OZ.","12"
86,3,"12.0 oz. Alumi-Tek","16"
87,3,"12.0 oz","12"
88,3,"12.0 oz.","12"
89,3,"12.0 OZ.","12"
90,3,"12.0 OZ.","12"
91,3,"16.0 oz","16"
92,3,"16.0 OZ.","16"
93,3,"16.0 oz. Alumi-Tek","16"
94,3,"16.0 oz","16"
95,3,"16.0 ounce","12"
96,3,"12.0 oz. Alumi-Tek","12"
97,3,"12.0 ounce","12"
98,3,"12.0 oz","12"
99,3,"12.0 oz.","12"
100,3,"12.0 ounce","12"
101,3,"12.0 oz.","12"
102,3,"12.0 oz","12"
103,3,"12.0 oz.","12"
104,3,"12.0 oz","12"
105,3,"12.0 ounce","12"
106,3,"12.0 ounce","12"
107,3,"12.0 oz","12"
108,3,"12.0 oz.","12"
109,3,"12.0 oz. Alumi-Tek","12"
110,3,"16.0 oz","16"
111,3,"12.0 oz.","12"
112,3,"12.0 oz","12"
113,3,"12.0 oz","12"
114,3,"12.0 ounce","12"
115,3,"12.0 ounce","12"
116,3,"12.0 ounce","12"
117,3,"12.0 oz.","12"
118,3,"12.0 oz.","12"
119,3,"16.0 ounce","12"
120,3,"16.0 oz","16"
121,3,"16.0 oz.","16"
122,3,"16.0 oz.","16"
123,3,"16.0 oz.","16"
124,3,"12.0 OZ.","12"
125,3,"12.0 oz.","12"
126,3,"12.0 ounce","12"
127,3,"12.0 OZ.","12"
128,3,"16.0 oz.","16"
129,3,"16.0 oz. Alumi-Tek","12"
130,3,"16.0 ounce","12"
131,3,"12.0 oz. Silo Can","16"
132,3,"12.0 oz.","12"
133,3,"12.0 oz","12"
134,3,"12.0 ounce","12"
135,3,"12.0 oz.","12"
136,3,"16.0 oz","16"
137,3,"16.0 oz.","16"
138,3,"12.0 oz","12"
139,3,"12.0 oz","12"
140,3,"12.0 oz.","12"
141,3,"16.0 ounce","12"
142,3,"16.0 oz. Alumi-Tek","12"
143,3,"16.0 oz. Silo Can","12"
144,3,"12.0 oz.","12"
145,3,"12.0 oz","12"
146,3,"12.0 oz.","12"
147,3,"12.0 oz.","12"
148,3,"12.0 ounce","12"
149,3,"12.0 OZ.","12"
150,3,"16.0 ounce","12"
151,3,"16.0 oz.","16"
152,3,"16.0 oz","16"
153,3,"12.0 oz.","12"
154,3,"12.0 oz","12"
155,3,"12.0 oz.","12"
156,3,"16.0 oz","16"
157,3,"12.0 OZ.","12"
158,3,"12.0 oz","12"
159,3,"12.0 oz.","12"
160,3,"12.0 ounce","12"
161,3,"12.0 oz.","12"
162,3,"12.0 oz.","12"
163,3,"12.0 oz.","12"
164,3,"12.0 oz.","12"
165,3,"12.0 oz","12"
166,3,"12.0 ounce","12"
167,3,"12.0 oz. Alumi-Tek","12"
168,3,"12.0 oz.","12"
169,3,"12.0 ounce","12"
170,3,"12.0 oz.","12"
171,3,"12.0 oz.","12"
172,3,"12.0 ounce","12"
173,3,"12.0 ounce","12"
174,3,"12.0 oz.","12"
175,3,"12.0 OZ.","12"
176,3,"12.0 oz.","12"
177,3,"12.0 ounce","12"
178,3,"12.0 ounce","12"
179,3,"12.0 oz","12"
180,3,"12.0 ounce","12"
181,3,"12.0 ounce","12"
182,3,"12.0 ounce","12"
183,3,"12.0 ounce","12"
184,3,"12.0 OZ.","12"
185,3,"12.0 OZ.","12"
186,3,"12.0 oz","12"
187,3,"12.0 oz.","12"
188,3,"12.0 oz. Alumi-Tek","12"
189,3,"12.0 oz","12"
190,3,"12.0 ounce","12"
191,3,"16.0 oz","16"
192,3,"12.0 oz.","12"
193,3,"12.0 oz","12"
194,3,"12.0 oz. Alumi-Tek","12"
195,3,"12.0 oz.","12"
196,3,"12.0 ounce","12"
197,3,"12.0 oz.","12"
198,3,"12.0 oz","12"
199,3,"12.0 ounce","12"
200,3,"12.0 oz.","12"
201,3,"12.0 oz.","12"
202,3,"12.0 oz.","12"
203,3,"12.0 oz","12"
204,3,"16.0 oz","16"
205,3,"12.0 oz","12"
206,3,"12.0 oz.","12"
207,3,"12.0 ounce","12"
208,3,"12.0 oz.","12"
209,3,"12.0 oz.","12"
210,3,"12.0 OZ.","12"
211,3,"12.0 oz","12"
212,3,"16.0 ounce","12"
213,3,"12.0 OZ.","12"
214,3,"12.0 oz. Alumi-Tek","16"
215,3,"12.0 oz.","12"
216,3,"12.0 ounce","12"
217,3,"12.0 oz","12"
218,3,"16.0 oz.","16"
219,3,"16.0 oz.","16"
220,3,"16.0 oz.","16"
221,3,"16.0 OZ.","16"
222,3,"16.0 oz.","16"
223,3,"12.0 oz.","12"
224,3,"16.0 ounce","12"
225,3,"12.0 oz.","12"
226,3,"12.0 OZ.","12"
227,3,"12.0 oz.","12"
228,3,"12.0 ounce","12"
229,3,"12.0 oz.","12"
230,3,"12.0 oz.","12"
231,3,"12.0 oz.","12"
232,3,"12.0 ounce","12"
233,3,"12.0 oz","12"
234,3,"12.0 oz.","12"
235,3,"12.0 oz.","12"
236,3,"12.0 oz","12"
237,3,"12.0 oz","12"
238,3,"12.0 OZ.","12"
239,3,"16.0 oz. Alumi-Tek","12"
240,3,"12.0 ounce","12"
241,3,"16.0 oz.","16"
242,3,"16.0 oz","16"
243,3,"12.0 ounce","12"
244,3,"12.0 OZ.","12"
245,3,"12.0 ounce","12"
246,3,"16.0 oz.","16"
247,3,"16.0 ounce","12"
248,3,"12.0 oz.","12"
249,3,"16.0 oz.","16"
250,3,"12.0 oz.","12"
251,3,"12.0 oz.","12"
252,3,"12.0 ounce","12"
253,3,"12.0 oz","12"
254,3,"12.0 oz","12"
255,3,"12.0 oz.","12"
256,3,"12.0 oz.","12"
257,3,"12.0 oz.","12"
258,3,"12.0 oz","12"
259,3,"12.0 OZ.","12"
260,3,"12.0 ounce","12"
261,3,"12.0 oz","12"
262,3,"12.0 oz","12"
263,3,"12.0 oz.","12"
264,3,"12.0 oz.","12"
265,3,"12.0 ounce","12"
266,3,"16.0 oz","16"
267,3,"16.0 ounce","12"
268,3,"16.0 OZ.","16"
269,3,"16.0 oz.","16"
270,3,"16.0 oz.","16"
271,3,"16.0 ounce","16"
272,3,"12.0 oz","12"
273,3,"12.0 oz","12"
274,3,"12.0 oz.","12"
275,3,"16.0 oz","16"
276,3,"12.0 oz","12"
277,3,"12.0 ounce","12"
278,3,"12.0 ounce","12"
279,3,"12.0 ounce","12"
280,3,"12.0 oz","12"
281,3,"12.0 ounce","12"
282,3,"12.0 oz.","12"
283,3,"12.0 oz","12"
284,3,"12.0 oz","12"
285,3,"12.0 oz","12"
286,3,"12.0 ounce","12"
287,3,"12.0 oz. Alumi-Tek","12"
288,3,"12.0 OZ.","12"
289,3,"12.0 ounce","12"
290,3,"12.0 ounce","12"
291,3,"12.0 oz","12"
292,3,"12.0 ounce","12"
293,3,"12.0 ounce","12"
294,3,"12.0 oz. Alumi-Tek","12"
295,3,"12.0 oz.","12"
296,3,"12.0 oz.","12"
297,3,"12.0 oz.","12"
298,3,"12.0 oz","12"
299,3,"12.0 ounce","12"
300,3,"12.0 ounce","12"
301,3,"12.0 ounce","12"
302,3,"12.0 oz.","12"
303,3,"12.0 oz.","12"
304,3,"12.0 ounce","12"
305,3,"12.0 ounce","12"
306,3,"12.0 oz.","12"
307,3,"12.0 oz.","12"
308,3,"12.0 oz","12"
309,3,"12.0 oz","12"
310,3,"12.0 ounce","12"
311,3,"12.0 oz.","12"
312,3,"12.0 oz.","12"
313,3,"12.0 ounce","12"
314,3,"12.0 oz","12"
315,3,"12.0 oz.","12"
316,3,"12.0 oz.","12"
317,3,"12.0 oz.","12"
318,3,"12.0 oz","12"
319,3,"16.0 oz. Alumi-Tek","12"
320,3,"12.0 oz.","12"
321,3,"12.0 ounce","12"
322,3,"12.0 ounce","12"
323,3,"12.0 oz.","12"
324,3,"12.0 oz.","12"
325,3,"12.0 oz.","12"
326,3,"12.0 oz","12"
327,3,"12.0 oz. Alumi-Tek","12"
328,3,"12.0 oz","12"
329,3,"12.0 oz. Alumi-Tek","12"
330,3,"12.0 oz.","12"
331,3,"16.0 OZ.","16"
332,3,"16.0 oz.","16"
333,3,"12.0 oz","12"
334,3,"12.0 oz.","12"
335,3,"12.0 ounce","12"
336,3,"16.0 oz.","16"
337,3,"16.0 ounce","12"
338,3,"12.0 oz.","12"
339,3,"16.0 ounce","12"
340,3,"12.0 oz. Alumi-Tek","12"
341,3,"16.0 oz. Alumi-Tek","12"
342,3,"12.0 oz","12"
343,3,"12.0 oz","12"
344,3,"12.0 oz.","12"
345,3,"16.0 oz.","16"
346,3,"12.0 oz.","12"
347,3,"12.0 oz.","12"
348,3,"16.0 ounce","12"
349,3,"12.0 ounce","12"
350,3,"12.0 oz.","12"
351,3,"12.0 ounce","12"
352,3,"16.0 oz.","16"
353,3,"16.0 ounce","12"
354,3,"16.0 oz. Alumi-Tek","12"
355,3,"12.0 ounce","12"
356,3,"16.0 oz","16"
357,3,"12.0 ounce","12"
358,3,"12.0 oz.","12"
359,3,"16.0 ounce","12"
360,3,"12.0 oz.","12"
361,3,"12.0 oz","12"
362,3,"12.0 oz","12"
363,3,"12.0 oz.","12"
364,3,"12.0 oz.","12"
365,3,"12.0 ounce","12"
366,3,"12.0 oz.","12"
367,3,"12.0 oz.","12"
368,3,"12.0 oz.","12"
369,3,"12.0 oz","12"
370,3,"12.0 ounce","12"
371,3,"12.0 oz.","12"
372,3,"12.0 ounce","12"
373,3,"12.0 ounce","12"
374,3,"12.0 oz.","12"
375,3,"12.0 oz","12"
376,3,"12.0 oz. Alumi-Tek","12"
377,3,"16.0 oz","16"
378,3,"12.0 oz.","12"
379,3,"12.0 ounce","12"
380,3,"12.0 ounce","12"
381,3,"12.0 oz","12"
382,3,"12.0 oz.","12"
383,3,"12.0 oz.","12"
384,3,"12.0 oz.","12"
385,3,"12.0 oz","12"
386,3,"16.0 oz.","16"
387,3,"16.0 ounce","12"
388,3,"16.0 oz","16"
389,3,"16.0 oz.","16"
390,3,"16.0 OZ.","16"
391,3,"16.0 oz","16"
392,3,"16.0 oz.","16"
393,3,"16.0 oz","16"
394,3,"16.0 oz.","16"
395,3,"16.0 oz. Alumi-Tek","12"
396,3,"16.0 oz","16"
397,3,"16.0 oz.","16"
398,3,"16.0 oz","16"
399,3,"16.0 ounce","12"
400,3,"16.0 oz.","16"
401,3,"16.0 OZ.","16"
