Cont1,Cont2,Cont3,Cont4,Cont5,Cont6,Cont7,Cont8,Cont9,Cont10
50,21,77,0,28,0,27.0,44,22.0,1
55,0,95,0,44,26,51,44,56.0,4
53,0,95,0,44,0,29.0,44,2,1
95,0,76,0,28,18,40,44,8,1
37,0,95,0,44,-26,43.0,44,2,1
85,0,95,0,44,1,3.0,44,80.0,1
56,0,95,0,44,11,25.0,44,62.0,4
55,-1,95,0,44,0,40,44,2,1
53,0,77,0,28,0,23.0,44,24.0,4
37,0,95,0,28,0,64.0,44,8,1
37,0,95,0,44,0,42,44,24.0,1
45,0,95,0,44,20,38.0,44,0,1
38,0,95,0,44,7,39,44,0,1
37,0,95,0,44,5,41,44,82,1
41,0,95,0,44,0,59.0,44,2,1
41,0,95,0,44,-16,48.0,50,82,1
95,0,95,0,44,0,38.0,44,82,1
49,0,95,0,44,0,30.0,44,2,1
95,0,95,0,50,4,33.0,44,0,1
37,0,95,0,44,0,68.0,44,0,1
44,0,77,0,44,2,33.0,44,0,1
44,0,95,0,44,0,1,44,36.0,1
37,-5.0,76,0,28,0,40,51,8,1
49,0,95,0,50,0,52.0,44,0,1
45,0,95,0,44,0,43.0,44,0,1
37,0,95,0,44,0,43.0,44,82,1
55,-1,95,0,44,8,42,44,82,4
55,0,95,0,44,0,31.0,44,0,1
95,0,95,0,44,0,32.0,44,2,1
37,0,95,0,44,-1,38.0,44,10.0,1
37,0,95,0,44,3,68.0,44,2,1
49,0,95,0,44,-16,58.0,44,2,1
79,0,95,0,44,0,4.0,130.0,126.0,1
51,0,95,0,44,29,28.0,44,0,1
59,0,95,0,44,24,51,44,0,1
37,0,95,0,44,0,71.0,44,6.0,1
56,0,95,0,44,9,41,44,10.0,4
39,0,95,0,44,0,37.0,44,0,1
51,-5.0,95,0,44,0,30.0,44,0,1
49,0,95,0,44,0,29.0,44,2,1
46,0,77,0,44,-19,32.0,44,2,1
56,0,95,0,44,0,24.0,44,0,1
56,0,95,0,44,3,23.0,44,40,4
37,0,95,0,44,4,68.0,44,4.0,1
76,0,95,0,44,13,5.0,122.0,118.0,1
56,0,95,0,44,7,24.0,44,82,1
41,0,76,0,44,11,35.0,44,0,1
41,0,95,0,44,0,44,44,2,1
56,-4.0,95,0,44,0,41,44,4.0,4
49,0,95,0,50,2,46.0,44,0,1
37,0,76,0,44,0,51,44,2,1
95,0,95,0,50,16,42,44,8,4
56,-4.0,95,0,44,0,31.0,51,0,1
37,-3.0,95,0,44,0,43.0,42,82,1
47,0,95,0,44,0,38.0,51,0,1
41,0,95,0,44,14,45.0,44,0,1
53,0,95,0,44,0,27.0,44,0,1
47,0,95,0,44,0,32.0,44,0,1
44,0,95,0,44,0,1,44,34.0,1
101,-3.0,95,0,44,0,1,44,28.0,1
45,0,95,0,44,-17,41,42,2,1
42,0,77,0,44,1,35.0,44,0,1
45,0,95,0,44,0,34.0,44,2,1
37,0,95,0,44,15,43.0,44,2,1
56,0,95,0,44,0,40,44,12.0,4
56,0,95,0,44,0,25.0,44,66.0,4
42,0,95,0,44,0,41,42,2,1
51,0,95,0,44,7,51,44,0,1
49,0,95,0,44,0,33.0,44,2,1
41,0,95,0,44,6,45.0,44,0,1
37,0,77,0,44,0,41,51,-298.0,1
49,0,95,0,44,0,36.0,44,2,1
37,-1,77,0,44,-6,40,44,2,1
41,0,95,0,44,-23,38.0,44,2,1
51,0,95,0,44,2,27.0,44,0,1
95,-1,95,0,44,-12,24.0,44,34.0,4
41,0,77,0,44,5,37.0,44,0,1
46,-3.0,95,0,44,0,51,44,0,1
56,0,95,0,44,-24,24.0,44,58.0,4
44,0,95,0,44,0,38.0,44,0,1
45,0,95,0,44,31,37.0,44,0,1
37,0,77,0,44,4,51,44,0,1
37,0,95,0,44,0,38.0,44,0,1
95,0,77,0,44,0,40,44,2,1
51,0,95,0,50,-6,51,44,2,1
46,0,76,0,44,0,29.0,51,0,1
49,0,77,0,50,5,28.0,44,82,1
45,0,95,0,44,0,62.0,44,2,1
42,0,95,0,44,0,51,44,2,1
37,0,95,0,44,-10,41,51,16.0,1
37,0,76,0,44,-10,39,40,2,1
53,0,95,0,44,0,51,44,2,1
38,0,95,0,44,4,38.0,44,0,1
40,0,95,0,44,0,51,51,2,1
47,0,95,0,44,0,48.0,44,82,1
45,0,95,0,44,0,51,44,2,1
41,-1,95,0,44,0,51,44,0,1
55,0,95,0,44,0,40,44,20.0,4
56,0,95,0,44,15,40,44,0,1
51,-3.0,95,0,50,-14,32.0,44,2,1
37,0,95,0,44,10,38.0,51,2,1
37,0,95,0,28,16,51,44,8,1
81,-2.0,95,0,44,0,4.0,103,98.0,1
95,0,95,0,44,0,52.0,44,2,1
41,0,95,0,44,25,43.0,44,82,1
49,0,95,0,44,-25,38.0,44,2,1
49,0,95,0,44,-14,34.0,44,2,1
37,-3.0,77,0,44,0,40,44,16.0,1
81,0,95,0,44,29,4.0,44,82,1
55,0,95,0,44,-1,29.0,44,2,1
55,0,95,0,44,23,41,50,8,4
42,0,95,0,44,0,39,44,0,1
79,0,95,0,44,3,4.0,125.0,82,1
59,-5.0,95,0,44,6,25.0,44,82,1
56,-3.0,95,0,44,0,31.0,44,0,1
55,0,95,0,44,0,26.0,44,66.0,4
56,0,95,0,44,0,51,51,58.0,4
46,0,95,0,44,0,34.0,44,0,1
56,0,95,0,44,-19,22,44,82,4
37,0,95,0,44,7,47.0,50,2,1
37,0,77,0,44,0,40,44,34.0,1
53,-1,95,0,44,-10,34.0,44,2,1
95,-1,95,0,44,0,42,44,82,1
44,0,95,0,44,0,38.0,44,0,1
48,-3.0,95,0,44,0,47.0,51,2,1
42,0,95,0,44,0,37.0,44,0,1
37,0,95,0,44,0,68.0,44,4.0,1
95,0,95,0,44,0,51,44,2,1
95,0,95,0,44,0,38.0,44,82,1
95,0,95,0,44,19,38.0,44,0,1
55,0,95,0,44,0,28.0,44,0,1
55,0,77,0,44,0,21.0,44,70.0,4
95,0,95,0,44,-1,37.0,44,2,1
37,0,95,0,44,0,41,44,30.0,1
57,0,91,0,44,0,34.0,44,82,1
37,0,76,0,44,0,38.0,44,0,1
37,0,77,0,44,0,41,44,28.0,1
37,0,76,0,28,6,39,47,8,1
95,0,95,0,50,2,35.0,44,0,1
37,0,77,0,44,-10,41,44,50,1
50,-4.0,95,0,44,0,35.0,44,2,1
51,-2.0,95,0,44,5,51,44,0,1
37,0,95,0,44,0,56.0,44,24.0,1
56,0,95,0,44,-12,26.0,44,2,1
95,0,95,0,44,0,38.0,51,2,1
55,0,95,0,44,0,52.0,44,2,1
37,0,95,0,44,-18,43.0,44,2,1
45,-1,95,0,44,0,33.0,44,2,1
41,0,77,0,44,0,36.0,51,2,1
48,0,95,0,44,0,39,44,2,1
43,0,95,0,44,15,37.0,44,0,1
56,0,95,0,44,0,40,44,4.0,4
95,0,95,0,44,3,55.0,44,14.0,1
46,0,95,0,44,0,37.0,44,2,1
49,-2.0,77,0,44,-30,28.0,44,2,1
45,0,95,0,44,2,38.0,51,0,1
56,0,95,0,44,0,25.0,102.0,76.0,4
95,-3.0,95,0,44,0,61.0,44,2,1
37,0,95,0,44,5,46.0,44,4.0,1
50,-4.0,95,0,50,0,33.0,44,2,1
