Cont1,Cont2,Cont3,Cont4,Cont5,Cont6,Cont7,Cont8,Cont9,Cont10
50,21,77,0,28,0,27.0,48,22,1
55,0,92,0,0,26,51,44,56,4
53,0,95,0,44,-5,29.0,44,2,1
56,0,76,0,28,44,40,48,8,1
37,0,95,0,34,-26.0,43,46,2,1
85,0,95,-4,6,1,3,44,80,1
56,0,81,0,-4,44,25,86,62.0,4
55,-1,95,-3,44,-4,40,41,2,1
53,0,77,0,28,0,23,48,24,4
37,0,95,0,28,0,64.0,73,8,1
37,0,78,-2,12,0,42,44,24,1
45,0,84,0,46,20,38,44,0,1
38,2,95,0,38,0,39,44,0,1
37,0,78,0,-2,5,41,81,2,1
41,0,95,0,38,-8,59.0,44,2,1
41,0,95,1,38,-16,48.0,44,2,1
56,0,95,-2,46,-4,38,39,2,1
49,0,79,0,46,-5,30.0,44,2,1
56,0,95,0,50,4,33.0,44,0,1
37,0,95,-2,36,-4,68.0,44,0,1
44,3,77,0,44,2,33.0,44,0,1
106,2,95,0,44,0,1,44,36,5
37,-5,76,0,28,0,40,51,8,1
49,0,95,0,50,-5,52.0,44,0,1
45,0,95,-2,44,-4,43,44,0,1
37,4,80,0,-2,0,43,44,2,1
55,-1,95,0,44,8,42,46,2,4
55,0,86,8,44,0,31.0,44,0,1
56,3,95,3,44,0,32.0,44,2,1
37,0,95,0,26,-1,38,48,10,1
37,0,95,0,36,0,68.0,44,2,1
49,0,95,0,46,-16,58.0,44,2,1
79,0,83,0,44,0,4,130.0,126.0,5
51,0,79,0,44,44,28.0,44,0,1
59,4,84,0,44,24,51,44,0,1
37,0,95,0,30,-5,71.0,44,6,1
56,3,95,0,46,0,41,44,10,4
39,0,95,0,44,-5,37,44,0,1
51,-5,81,0,44,0,30.0,44,0,1
49,0,95,0,46,-9,29.0,44,2,1
46,2,77,0,44,-19,32.0,44,2,1
56,0,81,0,56,0,24,44,0,1
56,0,79,0,16,0,23,44,40,4
37,0,95,0,34,4,68.0,44,4,1
76,0,81,0,44,44,5,122.0,118.0,5
56,0,80,0,56,0,24,44,2,1
41,0,76,0,42,44,35.0,44,0,1
41,0,95,0,38,0,44,46,2,1
56,-4,95,0,44,-2,41,45,4,4
49,0,95,1,50,2,46,46,0,1
37,2,76,0,36,-5,51,39,2,1
56,1,95,0,50,44,42,44,8,4
56,-4,95,0,56,0,31.0,51,0,1
37,-3,81,-2,38,-9,43,42,2,1
47,0,84,4,46,0,38,51,0,1
41,1,86,2,42,14,45,45,0,1
53,3,81,0,44,-5,27.0,44,0,1
47,5,95,0,46,0,32.0,44,0,1
104,0,95,0,44,0,1,44,34,1
101,-3,95,-4,44,0,1,44,28,5
45,0,86,0,44,-17,41,42,2,1
42,4,77,0,42,1,35.0,44,0,1
45,0,95,0,44,-4,34.0,44,2,1
37,0,80,0,44,44,43,44,2,1
56,0,95,-1,44,-5,40,44,12,4
56,0,95,0,44,-3,25,44,66,4
42,0,83,2,42,0,41,42,2,1
51,1,95,0,44,0,51,44,0,1
49,3,95,0,46,-8,33.0,44,2,1
41,1,95,3,42,6,45,45,0,1
37,0,77,0,44,4910.0,41,51,-298.0,1
49,0,84,0,44,-4,36,44,2,1
37,-1,77,-3,34,-6,40,44,2,1
41,0,79,0,38,-23,38,41,2,1
51,0,79,0,44,2,27.0,44,0,1
56,-1,79,-4,20,-12,24,59,34,4
41,0,77,0,42,5,37,44,0,1
46,-3,80,0,46,0,51,44,0,1
56,0,79,0,-2,-24,24,82,58,4
44,0,95,-1,44,0,38,44,0,1
45,0,83,0,46,44,37,44,0,1
37,0,77,0,36,4,51,41,0,1
37,0,75,-1,36,0,38,39,0,1
56,1,77,-2,34,0,40,44,2,1
51,0,95,0,50,-6,51,44,2,1
46,0,76,0,46,0,29.0,51,0,1
49,0,77,5,50,5,28.0,44,2,1
45,0,95,0,44,-3,62.0,44,2,1
42,0,79,-2,42,0,51,44,2,1
37,0,78,0,44,-10,41,51,16,1
37,0,76,-3,36,-10,39,44,2,1
53,5,84,0,44,-5,51,44,2,1
38,4,95,0,38,4,38,44,0,1
40,0,80,0,38,-2,51,51,2,1
47,2,95,3,46,0,48.0,44,2,1
45,0,79,5,44,0,51,44,2,1
41,-1,86,0,42,-5,51,45,0,1
55,0,95,0,36,-5,40,59,20,4
56,0,95,0,56,44,40,39,0,1
51,-3,95,0,50,-14,32.0,44,2,1
37,0,75,0,34,44,38,51,2,1
37,0,75,0,28,44,51,46,8,1
81,-2,84,0,-18,-5,4,103,98.0,1
56,0,95,-4,42,-4,52.0,44,2,1
41,0,84,2,42,25,43,44,2,1
49,0,95,-7,46,-25.0,38,41,2,1
49,0,95,0,46,-14,34.0,44,2,1
37,-3,77,0,44,0,40,56,16,1
81,0,84,0,44,44,4,44,2,1
55,1,84,0,44,-1,29.0,44,2,1
55,0,95,0,46,44,41,44,8,4
42,0,81,-2,42,-4,39,39,0,1
79,0,95,0,44,0,4,125,2,5
59,-5,84,0,44,6,25,44,2,1
56,-3,95,0,56,0,31.0,44,0,1
55,0,95,0,-10,0,26,44,66,4
56,0,92,0,-2,-4,51,51,58,4
46,0,80,0,46,-5,34.0,44,0,1
56,0,95,0,8,-19,22,44,2,4
37,0,83,0,34,0,47,44,2,1
37,0,77,0,2,-5,40,44,34,1
53,-1,95,-5,44,-10,34.0,44,2,1
56,-1,79,-4,36,-5,42,44,2,1
44,0,95,-4,44,0,38,44,0,1
48,-3,95,0,46,-4,47,51,2,1
42,5,79,5,42,0,37,44,0,1
37,0,95,-1,34,0,68.0,44,4,1
56,0,81,5,36,-3,51,44,2,1
56,0,95,-3,44,-5,38,44,2,1
56,0,83,0,44,44,38,44,0,1
55,2,83,-2,44,-5,28.0,44,0,1
55,0,77,0,-14,-4,21,44,70.0,4
56,3,78,0,44,-1,37,39,2,1
37,0,78,0,8,0,41,44,30,1
57,3,95,0,56,0,34.0,44,2,1
37,0,76,0,38,-5,38,44,0,1
37,0,77,0,8,-8,41,44,28,1
37,0,76,-5,28,6,39,44,8,1
56,4,84,0,50,2,35.0,44,0,1
37,0,77,5,-12,-10,41,44,50,1
50,-4,95,0,44,0,35.0,44,2,1
51,-2,95,0,44,5,51,44,0,1
37,0,95,0,12,-5,56.0,81,24,1
56,0,95,1,44,-12,26,44,2,1
56,0,81,3,44,-4,38,51,2,1
55,0,95,0,44,-3,52.0,44,2,1
37,0,81,-1,36,-18,43,44,2,1
45,-1,78,-3,44,-5,33.0,44,2,1
41,0,77,0,38,0,36,51,2,1
48,1,95,0,46,0,39,41,2,1
43,0,81,0,44,44,37,44,0,1
56,0,95,0,44,-5,40,44,4,4
56,0,92,0,24,0,55.0,44,14,1
46,1,83,0,44,-9,37,39,2,1
49,-2,77,3,46,-30,28.0,44,2,1
45,0,83,0,44,2,38,51,0,1
56,0,95,0,44,-4,25,102.0,76,4
56,-3,95,-6,46,-5,61.0,44,2,1
37,0,83,0,34,5,46,44,4,1
50,-4,83,0,50,0,33.0,44,2,1
56,-2,75,0,46,0,28.0,44,2,1
48,1,81,-1,46,0,33.0,44,2,1
55,0,95,0,44,-9,26,126.0,100,1
56,3,95,0,50,-5,57.0,44,0,1
38,0,95,-4,34,0,65.0,44,4,1
37,0,95,0,28,0,69.0,44,8,1
37,0,95,0,-6,-5,41,85,44,1
37,0,79,0,26,-22,42,44,12,1
43,0,84,0,44,44,41,41,0,1
36,0,81,0,36,0,51,45,0,1
45,1,80,0,46,44,51,44,0,1
55,0,78,0,44,-3,51,78,56,4
58,5,95,0,56,0,30.0,44,2,1
48,0,95,-4,44,0,40,41,2,1
56,0,95,2,44,0,2,44,34,5
54,-1,95,-1,44,-2,32.0,44,0,1
56,4,95,0,44,-5,40,44,2,4
79,2,83,0,-42,-19,4,51,122.0,5
37,0,95,0,44,-5,60.0,73,14,1
46,-3,95,2,46,0,63.0,51,2,1
37,0,78,0,16,-11,51,44,22,1
37,0,78,0,12,-10,41,44,24,1
56,0,78,5,-22,0,22,101.0,80,4
55,0,95,5,44,0,27.0,51,82,4
54,2,80,0,44,0,26,44,0,1
55,0,77,-2,28,0,21,51,28,4
37,0,95,-9,28,0,51,75,8,1
56,-1,79,0,44,0,23,44,40,4
56,-3,86,0,42,-16,42,44,2,1
41,-1,95,0,44,-14,48.0,44,2,1
39,0,95,0,44,0,68.0,44,0,1
46,0,95,0,46,4,61.0,51,0,1
37,4,95,0,44,-10,39,51,4,1
56,1,76,0,44,8,32.0,44,0,1
53,0,79,0,44,14,26,44,0,1
44,0,81,-1,44,5,37,44,0,1
56,3,95,0,44,0,43,44,18,4
56,0,95,-7,50,-5,51,44,2,4
37,0,75,-2,34,-5,38,51,2,1
52,4,95,-1,44,-2,31.0,44,2,1
80,0,95,6,44,44,51,126.0,122.0,1
56,0,76,0,36,4,39,44,2,1
55,0,95,0,-4,44,51,44,60.0,4
44,0,75,0,44,44,31.0,44,0,1
43,-5,83,0,42,-9,39,41,2,1
41,-1,76,0,38,-5,35.0,51,2,1
56,0,95,0,44,-10,41,42,2,1
55,0,77,0,6,-11,22,51,50,4
67,-2,95,0,44,-5,43,44,0,1
37,-67.0,95,0,36,44,69.0,44,0,1
56,0,95,0,44,-14,52.0,44,2,1
42,0,86,0,42,0,44,51,0,1
56,0,84,0,44,-19,28.0,44,2,1
38,2,80,0,38,4,42,41,2,1
45,0,95,0,44,-5,41,42,2,1
44,0,83,-1,44,0,38,39,0,1
45,0,83,0,44,-7,37,39,2,1
53,-1,95,0,44,4,35.0,44,0,1
51,0,83,0,44,44,31.0,44,0,1
41,0,81,0,38,-3,41,51,2,1
46,0,95,0,44,0,51,41,2,1
43,0,77,0,42,0,34.0,44,2,1
45,2,76,-3,44,-5,31.0,44,0,1
41,0,95,0,42,4,55.0,44,0,1
37,0,81,2,26,0,44,44,10,1
83,0,86,0,44,-5,51,44,88.0,5
56,0,95,4,44,0,25,104.0,80,4
43,0,95,0,42,-6,44,46,2,1
56,4,95,-4,44,0,42,44,14,4
46,2,78,0,46,0,32.0,44,0,1
37,0,79,0,26,-5,42,44,12,1
43,-1,83,0,44,-6,39,41,2,1
37,0,83,1,24,0,46,59,14,1
55,0,95,-2,50,0,40,46,6,4
56,3,95,0,56,0,33.0,44,0,1
37,0,78,0,0,-11,42,78,36,1
48,1,95,-6,46,-4,39,41,2,1
37,0,95,0,30,-5,53.0,59,6,1
55,0,95,0,46,0,51,44,8,4
51,-3,84,4,44,1,51,44,0,1
37,0,78,0,12,44,41,44,2,1
37,0,95,-6,34,0,59.0,44,2,1
45,-1,77,2,44,0,32.0,44,0,1
49,0,84,0,44,44,35.0,44,0,1
53,0,81,4,44,-22,28.0,44,2,1
37,2,95,0,28,0,53.0,44,8,1
37,0,77,1,36,0,41,51,0,1
70,57,95,0,-42,-5,51,126.0,114.0,1
56,-2,95,0,44,0,50.0,44,2,1
59,0,86,0,44,21,51,44,0,1
49,0,95,3,44,4,46,46,0,1
45,0,86,6,44,-5,41,42,2,1
56,0,79,0,46,6,33.0,51,0,1
56,0,78,0,44,1,22,44,12,4
55,-3,95,0,44,-3,51,42,2,1
49,0,78,0,44,0,51,44,0,1
39,3,77,0,44,0,38,44,0,1
55,-1,79,-8,20,-13,23,44,34,4
56,0,86,0,56,44,51,44,0,1
37,0,81,0,18,-26.0,44,44,18,1
41,0,95,-2,38,-3,41,44,2,1
45,-3,95,0,44,0,44,44,0,1
37,0,83,0,8,24,46,75,30,1
43,0,95,0,42,-5,34.0,44,2,1
84,6,95,0,44,-6,5,44,78,5
56,0,79,-1,6,-23,43,44,32,1
37,0,81,0,38,0,51,51,0,1
43,0,77,0,42,-19,34.0,44,2,1
56,0,95,4,50,44,42,51,6,4
50,1,78,-2,50,0,28.0,44,2,1
39,0,86,0,38,0,51,51,0,1
43,0,81,0,42,-10,37,39,2,1
56,0,79,0,36,-5,42,44,2,1
58,-4,95,0,56,0,51,44,0,1
45,0,95,2,44,0,49.0,44,0,1
38,3,76,0,44,8,38,44,0,1
37,0,79,0,44,-1,41,44,2,1
79,0,95,1,44,44,4,51,120,1
36,-1,76,0,36,0,39,51,2,1
85,0,95,0,2,-25.0,3,86,82,5
56,3,77,0,36,0,41,41,0,1
37,0,95,0,26,-19,41,44,10,1
56,0,79,0,46,14,34.0,44,0,1
54,4,77,0,28,0,23,48,26,4
43,-5,77,0,44,44,34.0,44,0,1
41,0,95,2,38,-1,42,44,2,1
43,0,77,10,42,-34.0,34.0,44,2,1
56,2,95,4,-4,0,25,51,2,1
55,0,95,0,44,0,26,115.0,2,4
37,0,103,0,24,44,66,51,14,1
50,1,95,3,44,0,39,41,2,1
45,0,84,8,44,-8,39,51,2,1
48,0,95,4,46,-7,51,51,2,1
56,0,95,-3,6,0,3,44,80,5
47,-2,95,0,46,0,59.0,44,0,1
37,-6,78,0,10,0,42,44,26,1
37,-38.0,95,0,30,-5,69.0,75,6,1
58,0,95,0,56,-5,33.0,44,2,1
46,0,78,-7,46,5,32.0,44,0,1
55,0,95,-2,50,-10,40,46,6,4
56,0,95,0,56,44,26,44,0,1
55,0,92,0,46,-5,37,51,8,4
39,-2,86,0,44,0,46,44,0,1
51,2,81,-5,50,0,30.0,44,2,1
37,0,75,0,44,44,38,44,16,1
41,-2,80,0,38,-20.0,39,41,2,1
53,0,86,0,44,-10,33.0,44,2,1
46,2,95,0,46,-5,42,41,0,1
37,0,78,0,6,-4,41,73,32,1
56,0,79,0,44,0,35.0,44,0,1
38,0,76,0,38,0,38,44,0,1
52,4,95,0,44,0,38,39,0,1
37,0,95,0,16,4,55.0,44,22,1
56,0,77,0,-22,44,21,100,80,4
44,4,95,-7,44,1,38,51,0,1
37,0,79,0,44,0,51,44,14,1
56,0,95,-7,46,0,41,41,0,1
52,-3,86,0,44,-4,33.0,44,2,1
41,0,95,0,38,0,39,41,2,1
56,0,80,0,44,-15,24,44,2,1
82,1,86,0,-6,0,3,44,90.0,5
60,-5,95,0,44,0,50.0,44,2,1
56,1,95,0,44,4,44,44,0,1
56,1,95,0,46,0,41,41,0,1
52,-3,95,0,44,0,35.0,44,0,1
37,0,78,0,-2,-6,42,81,40,1
43,0,78,-7,42,0,51,44,2,1
56,0,95,0,18,-25.0,51,44,18,1
42,-4,95,0,42,0,43,44,2,1
43,0,79,0,42,-5,37,44,2,1
78,-2,95,0,44,0,4,123,120,5
48,0,95,0,46,0,39,51,2,1
56,0,95,0,44,0,36,44,0,1
78,0,95,-2,44,0,51,123,120,5
56,0,77,2,38,-5,38,44,0,1
43,1,77,0,42,0,51,44,2,1
107,-2,95,0,44,-28.0,51,44,38,5
55,-1,81,-6,44,-8,26,44,0,1
41,0,95,0,38,-28.0,64.0,44,2,1
58,-4,95,0,56,0,28.0,44,0,1
37,0,95,0,44,-5,39,42,2,1
42,0,78,0,42,0,51,44,2,1
42,5,95,0,42,0,51,51,0,1
56,0,103,0,44,-17,50.0,44,2,1
42,2,75,0,42,0,33.0,44,2,1
56,4,95,0,18,0,68.0,44,20,1
49,-1,81,0,50,5,33.0,44,0,1
46,0,95,5,46,-5,31.0,44,0,1
56,4,95,0,44,26,40,44,12,4
41,1,95,0,38,-7,66,44,2,1
56,0,77,0,10,5,22,44,46,4
37,0,76,-2,26,1,39,44,12,1
56,-4,95,0,44,4,34.0,44,0,1
49,-2,83,0,50,0,51,44,0,1
56,0,78,0,12,44,22,44,42,4
52,0,81,0,44,0,29.0,44,0,1
37,0,77,0,2,-11,40,75,34,1
55,0,95,0,-24,-16,26,108.0,82,4
37,0,83,0,44,-5,47,78,32,1
55,0,95,0,46,44,40,44,8,4
46,4,95,0,44,-21.0,32.0,44,2,1
51,1,81,0,44,12,51,44,0,1
56,0,95,0,28,-9,69.0,51,8,1
54,3,83,-3,44,0,29.0,44,0,1
102,0,103,0,44,24,1,44,30,5
62,0,95,0,44,-5,48.0,44,0,1
55,0,95,0,50,25,37,44,2,4
44,0,95,1,44,1,38,44,0,1
45,4,95,-1,44,0,42,44,2,1
45,0,81,0,44,-3,36,44,2,1
56,0,77,0,20,-28.0,22,51,2,4
37,-1,95,-3,20,-7,39,44,2,1
56,0,79,0,12,44,23,44,42,4
45,0,95,2,44,0,44,44,0,1
56,0,95,-5,44,-5,51,44,0,1
37,-3,77,0,38,8,39,51,0,1
37,0,77,1,44,0,40,51,16,1
